order,stop type,active,wait,reference,name,lat,lng
1,visit,1,,JET,TFCO JETte,50.87324,4.32529
2,visit,1,,AAL,TFCO AAL,50.93903,4.04039
3,visit,1,,GEL1,TFCO GENT,51.05074,3.72846
4,visit,1,,LINDD,LINDD,51.09705,3.75923
5,visit,1,,KOR1,TFCO KOR,50.81933,3.26903
6,visit,1,,Sumy2hB,SUMY 1H,50.911073,4.404965
7,visit,1,,39,Les idees a la pele,50.8636,4.37478
8,visit,1,,FARMstc,FARM ST CATH,50.85269,4.3483599
9,visit,1,,FARM FC-IXL1,FARM FC-IXL,50.83424,4.36542
10,visit,1,,DATSGRIM1,DATS GRIMBERGEN,50.92705,4.3914
1,visit,1,,LEU,TFCO LEUVEN,50.88075,4.70009
2,visit,1,,LGG,TFCO LIEGE,50.62798,5.56695
3,visit,1,,,TFCO GERPINNES,50.34369,4.47261
4,visit,1,,DatsWater,Dats Waterloo,50.69076,4.32587
5,visit,1,,WOO,TFCO WOO Waterloo,50.7206199,4.39757
6,visit,1,,UVO,TFCO UVO,50.7946,4.37342
7,visit,1,,SUMY25b,SUMY 25 MIN,50.911107,4.403232
8,visit,1,,FARM HANKAR,FARM HANKAR,50.82346,4.40209
1,visit,1,,TFCO SABLON,TFCO SABLON,50.84155,4.35337
2,visit,1,,IXL,TFCO IXL,50.82027,4.37682
3,visit,1,,VDK,TFCO VDK,50.81422,4.35891
4,visit,1,,SUMY25a,SUMY 25 MIN 3,50.911107,4.403232
5,visit,1,,MCH,TFCO MA Malines,51.02265,4.47407
6,visit,1,,DATSMAL1,Dats MALINES,51.0448129,4.477557
7,visit,1,,,TFCO ANV VOLK,51.21187,4.39655
8,visit,1,,BRA,TFCO ANV BRASSCHAT,51.28897,4.48895
9,visit,1,,SUMY15d,SUMY 25 MIN,50.911067,4.403506
10,visit,1,,FARM TONGRES1,FARM TONGRES,50.8411199,4.40175
1,visit,1,,WGH,TFCO WGH,50.84471,4.41684
2,visit,1,,AUDvid,TFCO AUD,50.82046,4.40897
3,visit,1,,STO2,TFCO STOckel,50.8388599,4.46446
4,visit,1,,OVE1,TFCO OVErijse,50.78654,4.50019
5,visit,1,,DATSOVE1,Dats Overijse,50.78348,4.5058
6,visit,1,,LH1,TFCO LH Hulpe,50.73138,4.4809
7,visit,1,,WAV1,TFCO WAVRE,50.71678,4.61559
8,visit,1,,Sumy1hE,SUMY 1H,50.911107,4.405072
9,visit,1,,FARMlln,FARM LLN,50.6689,4.61494
10,visit,1,,FARbs,FARM BASCULE,50.814585,4.365606
11,visit,1,,DATSGRIM,DATS GRIMBERGEN,50.92705,4.3914
