vehicle,order,stop type,active,reference,name,lat,lng
,1,visit,1,JET,TFCO JETte,50.87324,4.32529
,2,visit,1,AAL,TFCO AAL,50.93903,4.04039
,3,visit,1,GEL1,TFCO GENT,51.05074,3.72846
,4,visit,1,LINDD,LINDD,51.09705,3.75923
,5,visit,1,KOR1,TFCO KOR,50.81933,3.26903
,6,visit,1,DATSGRIM1,DATS GRIMBERGEN,50.92705,4.3914
,1,visit,1,FARMstc,FARM ST CATH,50.85269,4.3483599
,2,visit,1,Sumy2hB,SUMY 1H,50.911073,4.404965
,3,visit,1,TFCO SABLON,TFCO SABLON,50.84155,4.35337
,4,visit,1,IXL,TFCO IXL,50.82027,4.37682
,5,visit,1,VDK,TFCO VDK,50.81422,4.35891
,6,visit,1,FARbs,FARM BASCULE,50.814585,4.365606
,7,visit,1,SUMY25a,SUMY 25 MIN,50.911107,4.403232
,8,visit,1,OVE1,TFCO OVErijse,50.78654,4.50019
,9,visit,1,WAV1,TFCO WAVRE,50.71678,4.61559
,10,visit,1,FARMlln,FARM LLN,50.6689,4.61494
,11,visit,1,LH1,TFCO LH Hulpe,50.73138,4.4809
,1,visit,1,FARM COOK2,FARM COOKING,50.80935,4.3949999
,2,visit,1,SUMY60b,SUMY 1H,50.911077,4.403484
,3,visit,1,FARM FC-IXL1,FARM FC-IXL,50.83424,4.36542
,1,visit,1,FARM TONGRES1,FARM TONGRES,50.8411199,4.40175
,2,visit,1,SUMY60a,SUMY 1H,50.911084,4.403549
,3,visit,1,FARM HANKAR,FARM HANKAR,50.82346,4.40209
,4,visit,1,SUMY25b,SUMY 25 MIN,50.911107,4.403232
,5,visit,1,STO2,TFCO STOckel,50.8388599,4.46446
,6,visit,1,WGH,TFCO WGH,50.84471,4.41684
,7,visit,1,AUDvid,TFCO AUD,50.82046,4.40897
,8,visit,1,357715c,OCEAN MAREE,50.83987,4.32004
,9,visit,1,SUMY25d,SUMY 25 MIN,50.911097,4.40349
,10,visit,1,MCH2,TFCO MA Malines,51.02265,4.47407
,11,visit,1,,TFCO ANV VOLK,51.21187,4.39655
,12,visit,1,Bia,BIA MARA ANVERS,51.22089,4.40053
,13,visit,1,BRA,TFCO ANV BRASSCHAT,51.28897,4.48895
,1,visit,1,LEU,TFCO LEUVEN,50.88075,4.70009
,2,visit,1,LGG,TFCO LIEGE,50.62798,5.56695
,3,visit,1,,TFCO GERPINNES,50.34369,4.47261
,4,visit,1,DatsWater,Dats Waterloo,50.69076,4.32587
,5,visit,1,WOO,TFCO WOO Waterloo,50.7206199,4.39757
,6,visit,1,UVO,TFCO UVO,50.7946,4.37342
